code;locale;name;descr
EUR;de;Euro;Europäische Euro
USD;de;US-Dollar;United States Dollar
GBP;de;Pfund;Britische Pfund
EUR;fr;euro;de la Zone euro
USD;fr;dollar;dollar des États-Unis
GBP;fr;livre sterling;pound sterling
